name,teams,teams_cnt,tournaments,countries,finals,first places,spirit of the game,MVP,tournaments organized
Никита Жариков,['Лаки Грасс'],1,23,2,3,2,2,,
Денис Жарков,['Импульс'],1,47,4,12,5,7,6,
Анастасия Жданова,['Белки'],1,29,3,2,1,11,,
Алексей Жебель,"['ЮПитер', 'Флаинг Степс']",2,154,11,33,20,5,,
Семён Жуков,['Фри Флай'],1,14,,5,2,,,
Юрий Заварин,['Спэйс Джэм'],1,74,3,21,11,10,3,
Евгения Заварина,['Спэйс Джэм'],1,38,3,13,5,3,2,
Яна Завьялова,"['Саус Вест', 'Юниорская сборная России ЖД', 'Вышка']",3,75,3,20,8,10,1,
Виталий Загорский,"['Фреш', 'Лаки Грасс']",2,89,14,20,12,8,,
Павел Зайцев,['Хаски ГЛУ'],1,9,,,,,,
Яня Зайченко,['Шестое Солнце'],1,18,7,1,,2,,
Сергей Закладной,['Рампейдж'],1,109,14,29,17,11,,1
Анна Занегина,[],0,17,,,,1,,
Анастасия Зарудная,['Вышка'],1,38,,9,4,5,,
Сергей Захаров,['Вышка'],1,1,,,,,,
Вячеслав Здравомыслов,['НовГУ'],1,18,,4,,,,5
Александр Зеленев,['Нижний Новгород'],1,107,4,28,11,12,,1
Владислав Зеленяк,['Good Vibes'],1,24,4,4,1,1,,
Marina Z,['Дикi Кралi'],1,53,8,18,12,6,2,
Никита Зетилов,"['Ми энд Май Манки', 'Stockholm Syndromes']",2,103,10,20,4,7,4,
Илона Зибарева,['Старт'],1,13,,2,,1,2,
Илья Зинкеев,[],0,3,,,,,,
Михаил Зинчук,['Тени'],1,106,8,19,8,4,1,
Анна Золотарева,['СПбГУКИ'],1,33,2,6,4,,2,
Александр Зоткин,['Юнион'],1,2,,,,,,
Алексей Зубец,['Шерлар'],1,29,3,5,1,6,2,
Дмитрий Ибрагимов,['ИТМО'],1,13,,1,,,,
Инга Ивакина,['Бриллианс'],1,105,20,50,24,13,,6
Валерий Иванов,['Тени'],1,101,9,31,14,2,1,
Владимир Иванов,['РеалФайв'],1,83,9,51,31,16,1,
Дмитрий Иванов,['Новгородские медведи'],1,48,7,10,3,4,,
Иван Иванов,['Шерлар'],1,2,,,,,,
Илья Иванов,['МГТУ им. Баумана'],1,2,,,,1,,
Руслан Иванов,['Нова'],1,13,5,3,2,1,,
Александр Ивкин,['ЮПитер'],1,18,4,3,2,,,
Влад Игинбеков,[],0,25,,8,5,5,,
Роман Ильговский,['Вышка'],1,6,,2,,1,,
Михаил Ильин,"['Lightning Fast', 'РеалФайв']",2,17,,6,3,2,,
Екатерина Ильина,['Юнион'],1,21,,2,2,,,1
Виталий Ильиных,['Easy Frisbee Team'],1,3,,1,,,,
Карина Ильницкая,['Фоксес'],1,2,,,,,,
Григорий Ильяшенко,['Вышка'],1,12,,1,1,1,,
Рашид Иманов,"['Скай Про', 'Флаинг Степс']",2,34,4,1,,1,1,
Дмитрий Иноземцев,['Вышка'],1,28,,7,,2,,
Степанн Иноземцев,['Хаски ГЛУ'],1,,,,,,,
Алексей Ионкин,['Лаки Грасс'],1,39,5,2,1,2,,
Максим Исаенков,"['MIPT', 'РеалФайв']",2,57,2,10,4,6,2,1
Марина Исакичева,"['Бивни', 'Банши', 'НГТУ']",3,62,3,12,4,8,1,
Алёна Исакова,['Рыбки'],1,1,,,,1,,
Юлия Искандарова,['Питер Старс'],1,12,,,,,,
Nik Its,[],0,,,,,,,
Ксения Казакова,['Саус Вест'],1,33,4,10,9,6,,
Илья Календарев,"['Флаинг Степс', 'Тени']",2,11,2,,,1,,
Антон Калеников,['Дружина'],1,118,,18,9,19,,3
Сергей Калеников,"['Сани', 'Сочи', 'ПИПЛы']",3,80,2,5,1,3,,14
Никита Калинин,['ИТМО'],1,15,,1,1,2,,
Станислав Калтышкин,['Озон'],1,9,,1,,,,
Александр Калугин,['Ми энд Май Манки'],1,84,10,10,3,8,,
Сергей Калугин,['Marių Meškos'],1,43,8,3,1,8,,
Олеся Калугина,[],0,2,,,,1,,
Дмитрий Камашев,['FireDogs'],1,13,,3,,3,,4
Никита Каменский,[],0,69,,10,8,3,3,9
Сергей Канарейкин,['Спэйс Джэм'],1,11,,5,4,1,,
Александр Капрал,['К175'],1,18,2,4,2,2,,
Мария Капридова,['ИТМО'],1,1,,,,,,
Александр Карпов,"['Вышка', 'Ми энд Май Манки']",2,43,2,10,2,5,1,
Евгений Карс,['Lynxes'],1,12,2,2,,1,,
Александра Катрич,['Дикi Кралi'],1,14,5,3,,3,,
Никита Качалин,['КАССΣОПΣЯ'],1,1,,,,,,
Владимир Качанов,['Флаундерс'],1,30,,3,2,,1,
Алексей Качур,['Стрижи'],1,17,,6,4,1,,
Дмитрий Кашапов,['Рокетс'],1,53,,13,3,5,,
Антон Кашин,"['Сокол', 'Вышка']",2,95,3,17,7,3,,
Владимир Квашин,['Лаки Грасс'],1,10,,,,1,,
Павел Кельцев,"['Озон', 'Стрижи', 'Рампейдж']",3,31,6,8,2,3,,
Андрей Кий,"['Рампейдж', 'МГТУ им. Баумана']",2,56,10,7,4,2,,
Александр Кильб,[],0,,,,,,,
Илья Киндерский,['Старт'],1,13,,3,3,,,
Сергей Кинчеев,['Фри Флай'],1,5,,,,,,
Илья Киреев,"['ЮПитер', 'Новгородские медведи', 'ОксиДискО']",3,21,2,5,3,2,,
Александр Кириллов,['Дружина'],1,59,2,11,7,16,1,1
Валерия Кириллова,"['Лемон Грасс', 'Бивни']",2,29,,4,1,4,1,
Женя Киримлиди,['Саус Вест'],1,61,5,19,12,8,,
Дмитрий Киричков,"['Гирс-Юнайтед', 'Сборная ВлГУ']",2,53,,5,1,5,,9
Елизавета Киркинова,['Самарские Рыси'],1,2,,1,1,,,
Анна Кирчева,[],0,9,,2,2,,,
Денис Киселев,"['Сани', 'Спектр']",2,41,,7,1,1,,
Татьяна Кисиева,['Биозон'],1,43,2,6,4,10,,2
Павел Кислицын,"['МГТУ им. Баумана', 'Ми энд Май Манки']",2,116,11,18,9,5,1,
Станислав Клецкий,"['x3', 'Аврора', 'ЮПитер']",3,105,12,30,16,7,1,
Константин Клецын,"['ОксиДискО', 'ИТМО']",2,21,2,7,3,4,,
Никита Клочков,['МГТУ им. Баумана'],1,22,,2,,2,,
Екатерина Кобелева,['СПбГУ'],1,28,,3,1,3,1,1
Евгения Коблова,[],0,30,,13,4,5,,
Павел Ковалев,"['РэгДолл', 'Нижний Новгород', 'НГТУ']",3,27,,7,2,2,,
Виктория Ковалева,['Саус Вест'],1,31,,10,5,3,,2
Артём Коваленко,[],0,1,,1,1,,,
Виталий Ковальчук,['Феникс'],1,59,6,10,4,6,1,
Никита Ковшов,"['Сокол', 'Нарвал']",2,97,17,15,6,7,1,
Любовь Кожанова,['Дружина'],1,29,,6,3,5,1,
Андрей Кожин,['Нижний Новгород'],1,65,2,10,6,7,,
Григорий Козинов,['Вышка'],1,21,,5,,2,1,
Вадим Козлов,['Тени'],1,7,2,,,,,
Владимир Козлов,['СПбГПМУ'],1,42,2,4,1,3,,
Михаил Козлов,[],0,,,,,,,
Никита Козлов,[],0,1,,1,,,,
Анна Козлова,['Элвис Пресли'],1,80,6,28,15,6,1,
Жанна Козловская,['Самарские Рыси'],1,15,,2,1,3,,
Полина Козырева,"['Саус Вест', 'Шерлар']",2,32,3,10,4,5,1,
Екатерина Козюк,['Феникс'],1,71,9,19,10,11,6,9
Егор Колесников,['Вышка'],1,10,,2,1,2,,
Маргарита Колесникова,[],0,5,,,,,,
Ульяна Колинько,['Брайт Вейв'],1,5,,1,,1,,
Наталья Колоколенкина,['Сани'],1,15,,2,2,1,,
Виктория Коломыченко,[],0,,,,,,,
Александр Колосков,['Старт'],1,4,,3,1,,,
Клим Колыванов,['Томск Фрисби Крю'],1,4,,,,,,
Александр Комаров,['Биозон'],1,64,3,9,4,11,3,1
Арсений Комаров,['Дружина'],1,10,2,,,2,,
Валентина Комлева,['РэгДолл'],1,4,,,,1,,
Дмитрий Кондаков,"['Вышка', 'Ми энд Май Манки']",2,62,4,12,3,6,2,
Мария Кондакова,[],0,35,3,7,5,4,,
Рома Коннов,['СПбГПМУ'],1,12,,3,,,2,
Константин Копейка,['Жиголо'],1,55,6,25,16,5,2,
Андрей Коптев,[],0,1,,,,,,
Владимир Корнев,['Белки'],1,41,2,12,6,8,2,
Ирина Корнейчук,['Easy Frisbee Team'],1,8,,1,1,,,
Полина Корнилова,"['Гирс-Юнайтед', 'Сборная ВлГУ']",2,34,,5,1,4,1,
Светлана Корнилова,"['Вышка', 'Бриллианс']",2,44,2,11,3,7,,3
Александр Корнышев,['Старт'],1,11,,6,5,,1,
Андрей Коробков,[],0,3,,1,1,1,,
Дарья Коровина,['Сборная ВлГУ'],1,19,,,,3,,5
Аделина Королькова,"['Сборная России ЖД', 'МГТУ им. Баумана', 'Бриллианс']",3,48,3,17,8,6,2,1
Катерина Коротенко,"['Юнион', 'МПГУ']",2,14,,4,1,1,,
Сергей Корчагин,['Долгорукие'],1,35,6,7,2,6,3,
София Коско,"['Чили', 'СПбГУ']",2,11,2,2,1,1,,
Александр Костин,[],0,8,,,,,,
